date,close_price,open_price
18/11/2024,134.0,134.0
15/11/2024,133.9,135.3
14/11/2024,136.0,137.9
13/11/2024,137.8,136.7
12/11/2024,136.8,138.6
11/11/2024,138.3,136.5
08/11/2024,135.8,136.1
07/11/2024,135.1,135.3
06/11/2024,134.6,133.1
05/11/2024,132.6,133.0
04/11/2024,132.8,134.6
01/11/2024,134.6,135.0
31/10/2024,135.9,135.9
30/10/2024,135.9,135.4
29/10/2024,135.4,135.4
28/10/2024,134.9,134.1
25/10/2024,134.0,134.3
24/10/2024,134.3,134.2
23/10/2024,134.2,132.9
22/10/2024,133.1,135.7
21/10/2024,135.5,137.0
18/10/2024,137.0,137.4
17/10/2024,137.0,136.5
16/10/2024,136.3,136.4
15/10/2024,137.0,137.6
14/10/2024,137.6,141.1
11/10/2024,139.6,142.0
10/10/2024,141.7,135.8
09/10/2024,135.4,134.3
08/10/2024,133.8,134.1
07/10/2024,134.1,134.2
04/10/2024,134.1,134.3
03/10/2024,134.0,135.4
02/10/2024,135.4,134.6
01/10/2024,135.9,134.7
30/09/2024,134.5,134.2
27/09/2024,134.2,134.3
26/09/2024,134.3,135.0
25/09/2024,134.8,134.3
24/09/2024,134.5,134.0
23/09/2024,134.0,135.9
20/09/2024,135.3,136.3
19/09/2024,135.2,135.0
18/09/2024,134.6,133.4
17/09/2024,132.9,131.2
16/09/2024,131.1,131.8
13/09/2024,133.0,132.2
12/09/2024,132.3,131.0
11/09/2024,130.6,130.0
10/09/2024,130.0,131.0
09/09/2024,131.3,130.8
06/09/2024,132.1,130.5
05/09/2024,130.6,133.0
04/09/2024,133.0,133.0
30/08/2024,134.8,133.5
29/08/2024,133.7,132.8
28/08/2024,133.3,133.0
27/08/2024,132.5,131.5
26/08/2024,131.5,133.3
23/08/2024,133.1,133.7
22/08/2024,133.8,134.0
21/08/2024,133.5,130.6
20/08/2024,131.5,130.7
19/08/2024,130.5,131.1
16/08/2024,130.6,129.1
15/08/2024,128.7,129.1
14/08/2024,129.5,130.7
13/08/2024,129.7,129.7
12/08/2024,130.0,126.9
09/08/2024,126.9,122.4
08/08/2024,121.4,121.6
07/08/2024,122.0,121.0
06/08/2024,120.8,120.0
05/08/2024,118.6,121.1
02/08/2024,123.2,122.1
01/08/2024,124.8,129.6
31/07/2024,128.6,127.3
30/07/2024,128.0,129.0
29/07/2024,129.0,130.0
26/07/2024,128.0,125.9
25/07/2024,125.0,124.2
24/07/2024,126.0,125.5
23/07/2024,125.5,124.9
22/07/2024,124.1,126.0
19/07/2024,126.0,128.6
18/07/2024,127.9,131.4
17/07/2024,131.9,134.0
16/07/2024,134.0,133.6
15/07/2024,132.7,133.5
12/07/2024,133.8,132.2
11/07/2024,133.0,134.1
10/07/2024,134.0,136.0
09/07/2024,137.5,139.1
08/07/2024,139.6,138.5
05/07/2024,138.7,136.1
04/07/2024,135.8,132.1
03/07/2024,131.0,130.5
02/07/2024,128.0,128.6
01/07/2024,128.6,130.4
28/06/2024,130.5,132.8
27/06/2024,132.8,131.3
27/06/2024,132.8,131.3
26/06/2024,131.8,131.0
25/06/2024,130.0,131.0
24/06/2024,132.1,135.0
21/06/2024,136.1,133.9
20/06/2024,133.3,133.0
19/06/2024,131.5,128.0
18/06/2024,128.0,128.8
17/06/2024,128.8,131.0
14/06/2024,131.0,130.1
13/06/2024,130.0,133.7
12/06/2024,132.0,127.9
11/06/2024,146.5,144.3
10/06/2024,144.0,143.5
07/06/2024,142.0,141.0
06/06/2024,139.6,140.3
05/06/2024,140.1,140.0
04/06/2024,139.1,139.0
03/06/2024,136.9,135.0
31/05/2024,134.6,135.0
30/05/2024,135.0,133.8
29/05/2024,135.7,137.1
28/05/2024,137.0,134.0
27/05/2024,132.8,133.0
24/05/2024,131.9,138.0
23/05/2024,137.5,137.5
22/05/2024,138.0,137.9
21/05/2024,136.0,134.0
20/05/2024,133.0,135.2
17/05/2024,134.5,135.4
16/05/2024,135.4,135.6
15/05/2024,134.1,131.5
14/05/2024,130.5,130.0
13/05/2024,129.7,131.3
10/05/2024,131.0,131.3
09/05/2024,130.3,130.6
08/05/2024,131.0,130.1
07/05/2024,131.3,128.0
06/05/2024,127.6,126.5
03/05/2024,125.9,128.1
02/05/2024,127.3,123.8
26/04/2024,123.2,123.0
25/04/2024,123.2,122.5
